 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
15-36	.	.	ZP	

#id=16
#text=Hver gang, de blev interviewet, var det med frosne blikke, og  det eneste tegn på liv var munden, der bevægede sig.
16-1	Hver	hver	PI:s-uc:--:----	
16-2	gang	gang	NC:siuc:--:----	
16-3	,	,	ZD	
16-4	de	de	PP:p-n#:--:-3n-	
16-5	blev	blive	VF:----:ta:----	
16-6	interviewet	interview	NC:sdun:--:----	
16-7	,	,	ZD	
16-8	var	være	VF:----:ta:----	
16-9	det	det	PP:s-un:--:-3n-	
16-10	med	med	T-:----:--:----	
16-11	frosne	fryse	VP:p#u#:t-:----	
16-12	blikke	blik|blik-1-1|blik-1-4|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-3|blik-1-2	NC:piu#:--:----	
16-13	,	,	ZD	
16-14	og	og	CC:----:--:----	
16-15	det	den	PM:s-un:--:----	
16-16	eneste	eneste	AC:§§u§:--:p---	
16-17	tegn	tegn	NC:siun:--:----	
16-18	på	på	T-:----:--:----	
16-19	liv	liv	NC:siun:--:----	
16-20	var	være	VF:----:ta:----	
16-21	munden	mund	NC:sduc:--:----	
16-22	,	,	ZD	
16-23	der	der	US:----:--:----	
16-24	bevægede	bevæge	VF:----:ta:----	
16-25	sig	sig	PP:#-u#:--:-3y-	
16-26	.	.	ZP	

#id=17
#text= Et enkelt blik på et korrekt kort kan ellers dokumentere, at både Sverige, Tyskland og Polen ligger meget tættere på Bornholm end resten af Danmark, og at der vil være god fornuft i at have tætte forbindelser den vej.
17-1	Et	en	PI:s-un:--:----	
17-2	enkelt	enkelt	AC:siu§:--:p---	
17-3	blik	blik|blik-1-3|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2|blik-1-1	NC:siun:--:----	
17-4	på	på	T-:----:--:----	
17-5	et	en	PI:s-un:--:----	
17-6	korrekt	korrekt	AC:siu§:--:p---	
17-7	kort	kort	NC:siun:--:----	
17-8	kan	kunne	VF:----:sa:----	
17-9	ellers	ellers	D-:----:--:u---	
17-10	dokumentere	dokumentere	VI:----:-a:----	
17-11	,	,	ZD	
17-12	at	at	CS:----:--:----	
17-13	både	både	D-:----:--:u---	
17-14	Sverige	Sverige	NP:siu#:--:----	
17-15	,	,	ZD	
17-16	Tyskland	Tyskland	NP:siu#:--:----	
17-17	og	og	CC:----:--:----	
17-18	Polen	Polen	NP:siu#:--:----	
17-19	ligger	ligge	VF:----:sa:----	
17-20	meget	megen	AD:----:--:p---	
17-21	tættere	tæt	AC:##u#:--:c---	
17-22	på	på	T-:----:--:----	
17-23	Bornholm	Bornholm	NP:siu#:--:----	
17-24	end	end	CS:----:--:----	
17-25	resten	rest	NC:sduc:--:----	
17-26	af	af	T-:----:--:----	
17-27	Danmark	Danmark	NP:siu#:--:----	
17-28	,	,	ZD	
17-29	og	og	CC:----:--:----	
17-30	at	at	CS:----:--:----	
17-31	der	der	US:----:--:----	
17-32	vil	ville	VF:----:sa:----	
17-33	være	være	VI:----:-a:----	
17-34	god	god	AC:siuc:--:p---	
17-35	fornuft	fornuft	NC:siuc:--:----	
17-36	i	i	T-:----:--:----	
17-37	at	at	UI:----:--:----	
17-38	have	have	VI:----:-a:----	
17-39	tætte	tæt	AC:p#u#:--:p---	
17-40	forbindelser	forbindelse	NC:piu#:--:----	
17-41	den	den	PM:s-uc:--:----	
17-42	vej	vej	:siuc:--:----	
17-43	.	.	ZP	

#id=18
#text=Drengene står lidt tilbage i salen og sender længselsfulde blikke mod de to langlemmede sangerinder, der står i skarp silhuet foran røgen fra røgmaskinen.
18-1	Drengene	dreng	NC:pdu#:--:----	
18-2	står	stå	VF:----:sa:----	
18-3	lidt	lidt	AD:----:--:p---	
18-4	tilbage	tilbage	D-:----:--:u---	
18-5	i	i	T-:----:--:----	
18-6	salen	sal	NC:sduc:--:----	
18-7	og	og	CC:----:--:----	
18-8	sender	sende	VF:----:sa:----	
18-9	længselsfulde	længselsfuld	AC:p#u#:--:p---	
18-10	blikke	blik|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|inde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3|blik-1-2|blik-1-1	NC:piu#:--:----	
18-11	mod	mod	T-:----:--:----	
18-12	de	den	PM:p-u#:--:----	
18-13	to	to	LC:--u-:--:----	
18-14	langlemmede	langlemmet	AC:p#u#:--:p---	
18-15	sangerinder	sangerinde	NC:piu#:--:----	
18-16	,	,	ZD	
18-17	der	der	US:----:--:----	
18-18	står	stå	VF:----:sa:----	
18-19	i	i	T-:----:--:----	
18-20	skarp	skarp	AC:siuc:--:p---	
18-21	silhuet	silhuet	NC:siuc:--:----	
18-22	foran	foran	T-:----:--:----	
18-23	røgen	røg	NC:sduc:--:----	
18-24	fra	fra	T-:----:--:----	
18-25	røgmaskinen	røgmaskine	NC:sduc:--:----	
18-26	.	.	ZP	

#id=19
#text= Da kinesiske Lan Shui mødte Sjællands Symfoniorkester i 2004, var det kærlighed ved første blik.
19-1	Da	da	CS:----:--:----	
19-2	kinesiske	kinesisk	AC:sdu#:--:p---	
19-3	Lan	lan	NC:siun:--:----	
19-4	Shui	Shui	NP:siu#:--:----	
19-5	mødte	møde	VF:----:ta:----	
19-6	Sjællands	Sjælland	NP:sig#:--:----	
19-7	Symfoniorkester	symfoniorkester	NC:siun:--:----	
19-8	i	i	T-:----:--:----	
19-9	2004	2004	LC:--u-:--:----	
19-10	,	,	ZD	
19-11	var	være	VF:----:ta:----	
19-12	det	det	PP:s-un:--:-3n-	
19-13	kærlighed	kærlighed	NC:siuc:--:----	
19-14	ved	ved	T-:----:--:----	
19-15	første	første	AC:§§u§:--:p---	
19-16	blik	blik|blik-1-1|blik-1-4a|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4|blik-1-3|blik-1-2|blik-F-indre-blik	NC:siun:--:----	
19-17	.	.	ZP	

#id=20
#text=Mens de omkringstående - og der var rigtig mange, for det var fodringstid for de forbandede søløver - sendte mig straffende blikke, og lillebror stak i et sympati-hyl.
20-1	Mens	mens	CS:----:--:----	
20-2	de	den	PM:p-u#:--:----	
20-3	omkringstående	omkringstående	AW:----:--:----	
20-4	-	-	ZH	
20-5	og	og	CC:----:--:----	
20-6	der	der	US:----:--:----	
20-7	var	være	VF:----:ta:----	
20-8	rigtig	rigtig	AD:----:--:p---	
20-9	mange	mangen	AC:p#u#:--:p---	
20-10	,	,	ZD	
20-11	for	for	CC:----:--:----	
20-12	det	det	PP:s-un:--:-3n-	
20-13	var	være	VF:----:ta:----	
20-14	fodringstid	fodringstid	NC:siuc:--:----	
20-15	for	for	T-:----:--:----	
20-16	de	den	PM:p-u#:--:----	
20-17	forbandede	forbande	VP:p#u#:t-:----	
20-18	søløver	søløve	NC:piu#:--:----	
20-19	-	-	NC:piu#:--:----	
20-20	sendte	sende	VF:----:ta:----	
20-21	mig	mig	NC:siun:--:----	
20-22	straffende	straffe	VP:##u#:s-:----	
20-23	blikke	blik|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-2|blik-1-1|blik-1-4|blik-1-3	NC:piu#:--:----	
20-24	,	,	ZD	
20-25	og	og	CC:----:--:----	
20-26	lillebror	lillebror	NC:siuc:--:----	
20-27	stak	stikke	VF:----:ta:----	
20-28	i	i	T-:----:--:----	
20-29	et	en	PI:s-un:--:----	
20-30	sympati	sympati	NW:----:--:----	
20-31	-	-	ZH	
20-32	hyl	hyl	NC:siun:--:----	
20-33	.	.	ZP	

#id=21
#text= Pludselig bliver blikket lukket inde, og i stedet for værker, bemærker man pludselig, hvordan vinduernes krumning korresponderer perfekt med labyrintens.
21-1	Pludselig	pludselig	D-:----:--:u---	
21-2	bliver	blive	VF:----:sa:----	
21-3	blikket	blik|blik-1-2|blik-1-1|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4	NC:sdun:--:----	
21-4	lukket	lukke	VT:siu#:t-:----	
21-5	inde	inde	D-:----:--:u---	
21-6	,	,	ZD	
21-7	og	og	CC:----:--:----	
21-8	i	i	T-:----:--:----	
21-9	stedet	sted	NC:sdun:--:----	
21-10	for	for	T-:----:--:----	
21-11	værker	værk	NC:piu#:--:----	
21-12	,	,	ZD	
21-13	bemærker	bemærke	VF:----:sa:----	
21-14	man	man	PI:#-uc:--:----	
21-15	pludselig	pludselig	D-:----:--:u---	
21-16	,	,	ZD	
21-17	hvordan	hvordan	D-:----:--:u---	
21-18	vinduernes	vinduernes	XY:----:--:----	
21-19	krumning	krumning	NC:siuc:--:----	
21-20	korresponderer	korrespondere	VF:----:sa:----	
21-21	perfekt	perfekt	AC:siu§:--:p---	
21-22	med	med	T-:----:--:----	
21-23	labyrintens	labyrint	NC:sdgc:--:----	
21-24	.	.	ZP	

#id=22
#text= Pædagogisk dokumentation som sprogtest eller læringshistorier kan f. eks. opleves som en måde at skærpe  det faglige blik på.
22-1	Pædagogisk	pædagogisk	AC:siuc:--:p---	
22-2	dokumentation	dokumentation	NC:siuc:--:----	
22-3	som	som	US:----:--:----	
22-4	sprogtest	sprogtest	NC:siuc:--:----	
22-5	eller	eller	CC:----:--:----	
22-6	læringshistorier	læringshistorie	NC:piu#:--:----	
22-7	kan	kunne	VF:----:sa:----	
22-8	f	for	T-:----:--:----	
22-9	.	.	ZP	
22-10	eks	eksempel	NC:siun:--:----	
22-11	.	.	ZP	
22-12	opleves	opleve	VF:----:sp:----	
22-13	som	som	US:----:--:----	
22-14	en	en	PI:s-uc:--:----	
22-15	måde	måde	NC:siuc:--:----	
22-16	at	at	UI:----:--:----	
22-17	skærpe	skærpe	VI:----:-a:----	
22-18	det	den	PM:s-un:--:----	
22-19	faglige	faglig	AC:sdu#:--:p---	
22-20	blik	blik|blik-1-1|blik-1-2|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3	NC:siun:--:----	
22-21	på	på	T-:----:--:----	
22-22	.	.	ZP	

#id=23
#text= Derpå forlod bavianen scenen efter et enkelt blik på den stav med indbygget elektrochok, som det tililende vagtværn havde medbragt.
23-1	Derpå	derpå	D-:----:--:u---	
23-2	forlod	forlade	VF:----:ta:----	
23-3	bavianen	bavian	NC:sduc:--:----	
23-4	scenen	scene	NC:sduc:--:----	
23-5	efter	efter	T-:----:--:----	
23-6	et	en	PI:s-un:--:----	
23-7	enkelt	enkelt	AC:siu§:--:p---	
23-8	blik	blik|blik-1-2|blik-1-1|blik-1-3|blik-1-4a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4	NC:siun:--:----	
23-9	på	på	T-:----:--:----	
23-10	den	den	PM:s-uc:--:----	
23-11	stav	stav	NC:siuc:--:----	
23-12	med	med	T-:----:--:----	
23-13	indbygget	indbygge	VT:siu#:t-:----	
23-14	elektrochok	elektrochok	NC:siun:--:----	
23-15	,	,	ZD	
23-16	som	som	US:----:--:----	
23-17	det	det	PP:s-un:--:-3n-	
23-18	tililende	tililende	AD:----:--:p---	
23-19	vagtværn	vagtværn	NC:siun:--:----	
23-20	havde	have	VF:----:ta:----	
23-21	medbragt	medbringe	VT:siu#:t-:----	
23-22	.	.	ZP	

#id=24
#text="Det er rigtig meget", siger han med et alvorligt blik gennem brillerne.
24-1	"	"	ZI	
24-2	Det	det	PP:s-un:--:-3n-	
24-3	er	være	VF:----:sa:----	
24-4	rigtig	rigtig	AD:----:--:p---	
24-5	meget	megen	AC:siu§:--:p---	
24-6	"	"	ZI	
24-7	,	,	ZD	
24-8	siger	sige	VF:----:sa:----	
24-9	han	han	PP:s-nc:--:-3n-	
24-10	med	med	T-:----:--:----	
24-11	et	en	PI:s-un:--:----	
24-12	alvorligt	alvorlig	AC:siun:--:p---	
24-13	blik	blik|blik-F-indre-blik|blik-1-1|blik-1-4|blik-1-4a|blik-1-3|blik-1-2|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a	NC:siun:--:----	
24-14	gennem	gennem	T-:----:--:----	
24-15	brillerne	brille	NC:pdu#:--:----	
24-16	.	.	ZP	

#id=25
#text=Så marcherer vi videre gennem højloftede sale, hvor der i hvert hjørne er placeret bevæbnede vagter med stive blikke.
25-1	Så	så	D-:----:--:u---	
25-2	marcherer	marchere	VF:----:sa:----	
25-3	vi	vi	PP:p-nc:--:-1n-	
25-4	videre	videre	D-:----:--:u---	
25-5	gennem	gennem	T-:----:--:----	
25-6	højloftede	højloftet	AC:p#u#:--:p---	
25-7	sale	sal	NC:piu#:--:----	
25-8	,	,	ZD	
25-9	hvor	hvor	D-:----:--:u---	
25-10	der	der	US:----:--:----	
25-11	i	i	T-:----:--:----	
25-12	hvert	hver	PI:s-un:--:----	
25-13	hjørne	hjørne	NC:siun:--:----	
25-14	er	være	VF:----:sa:----	
25-15	placeret	placere	VT:siu#:t-:----	
25-16	bevæbnede	bevæbnet	AC:p#u#:--:p---	
25-17	vagter	vagt	NC:piu#:--:----	
25-18	med	med	T-:----:--:----	
25-19	stive	stiv	AC:p#u#:--:p---	
25-20	blikke	blik|blik-1-1|blik-1-3|blik-1-4a|blik-1-4|blik-1-2|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a	NC:piu#:--:----	
25-21	.	.	ZP	

#id=26
#text= Så får man et skævt blik af det danske samfund.
26-1	Så	så	D-:----:--:u---	
26-2	får	få	VF:----:sa:----	
26-3	man	man	PI:#-uc:--:----	
26-4	et	en	PI:s-un:--:----	
26-5	skævt	skæv	AC:siun:--:p---	
26-6	blik	blik|blik-1-3|blik-1-2|blik-1-1|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4	NC:siun:--:----	
26-7	af	af	T-:----:--:----	
26-8	det	den	PM:s-un:--:----	
26-9	danske	dansk	AC:sdu#:--:p---	
26-10	samfund	samfund	NC:siun:--:----	
26-11	.	.	ZP	

#id=27
#text= Hans forskning er karakteriseret af et særligt blik for de paradokser, tvetydigheder og selvmodsigelser, der er på spil, når virksomheder ønsker at kommunikere mere effektivt.
27-1	Hans	hans	PO:#--#:--:-3ns	
27-2	forskning	forskning	NC:siuc:--:----	
27-3	er	være	VF:----:sa:----	
27-4	karakteriseret	karakterisere	VT:siu#:t-:----	
27-5	af	af	T-:----:--:----	
27-6	et	en	PI:s-un:--:----	
27-7	særligt	særlig	AC:siun:--:p---	
27-8	blik	blik|blik-1-1|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-3|blik-1-2	NC:siun:--:----	
27-9	for	for	T-:----:--:----	
27-10	de	den	PM:p-u#:--:----	
27-11	paradokser	paradoks	NC:piu#:--:----	
27-12	,	,	ZD	
27-13	tvetydigheder	tvetydighed	NC:piu#:--:----	
27-14	og	og	CC:----:--:----	
27-15	selvmodsigelser	selvmodsigelse	NC:piu#:--:----	
27-16	,	,	ZD	
27-17	der	der	US:----:--:----	
27-18	er	være	VF:----:sa:----	
27-19	på	på	T-:----:--:----	
27-20	spil	spil	NC:siun:--:----	
27-21	,	,	ZD	
27-22	når	når	CS:----:--:----	
27-23	virksomheder	virksomhed	NC:piu#:--:----	
27-24	ønsker	ønske	VF:----:sa:----	
27-25	at	at	UI:----:--:----	
27-26	kommunikere	kommunikere	VI:----:-a:----	
27-27	mere	megen	AD:----:--:c---	
27-28	effektivt	effektiv	AC:siun:--:p---	
27-29	.	.	ZP	

#id=28
#text=Nævn det for enhver japaner, og han eller hun vil sukke henført med et drømmende blik i øjnene.
28-1	Nævn	nævne	VM:----:--:----	
28-2	det	det	PP:s-un:--:-3n-	
28-3	for	for	T-:----:--:----	
28-4	enhver	enhver	PI:s-uc:--:----	
28-5	japaner	japaner	NC:siuc:--:----	
28-6	,	,	ZD	
28-7	og	og	CC:----:--:----	
28-8	han	han	PP:s-nc:--:-3n-	
28-9	eller	eller	CC:----:--:----	
28-10	hun	hun	PP:s-nc:--:-3n-	
28-11	vil	ville	VF:----:sa:----	
28-12	sukke	sukke	VI:----:-a:----	
28-13	henført	henføre	VT:siu#:t-:----	
28-14	med	med	T-:----:--:----	
28-15	et	en	PI:s-un:--:----	
28-16	drømmende	drømme	VP:##u#:s-:----	
28-17	blik	blik|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-1|blik-1-4|blik-1-3|blik-1-2	NC:siun:--:----	
28-18	i	i	T-:----:--:----	
28-19	øjnene	øje	NC:pdu#:--:----	
28-20	.	.	ZP	

#id=29
#text= Også japanske firmaer har trukket på hans grafiske talent og hans særlige blik for naturens skønhed, omsat til forenklede former og dekorative motiver.
29-1	Også	også	D-:----:--:u---	
29-2	japanske	japansk	AC:p#u#:--:p---	
29-3	firmaer	firma	NC:piu#:--:----	
29-4	har	have	VF:----:sa:----	
29-5	trukket	trække	VT:siu#:t-:----	
29-6	på	på	T-:----:--:----	
29-7	hans	hans	PO:#--#:--:-3ns	
29-8	grafiske	grafisk	AC:sdu#:--:p---	
29-9	talent	talent	NC:siun:--:----	
29-10	og	og	CC:----:--:----	
29-11	hans	hans	PO:#--#:--:-3ns	
29-12	særlige	særlig	AC:sdu#:--:p---	
29-13	blik	blik|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-2|blik-1-1	NC:siun:--:----	
29-14	for	for	T-:----:--:----	
29-15	naturens	natur	NC:sdgc:--:----	
29-16	skønhed	skønhed	NC:siuc:--:----	
29-17	,	,	ZD	
29-18	omsat	omsætte	VT:siu#:t-:----	
29-19	til	til	T-:----:--:----	
29-20	forenklede	forenkle	VP:p#u#:t-:----	
29-21	former	form	NC:piu#:--:----	
29-22	og	og	CC:----:--:----	
29-23	dekorative	dekorativ	AC:p#u#:--:p---	
29-24	motiver	motiv	NC:piu#:--:----	
29-25	.	.	ZP	

#id=30
#text= Da han bliver vist ned til sit reserverede bord, bliver der fra de andre borde sendt genkendende blikke i hans retning.
30-1	Da	da	CS:----:--:----	
30-2	han	han	PP:s-nc:--:-3n-	
30-3	bliver	blive	VF:----:sa:----	
30-4	vist	vise	VT:siu#:t-:----	
30-5	ned	ned	D-:----:--:u---	
30-6	til	til	T-:----:--:----	
30-7	sit	sin	PO:s--n:--:-3ys	
30-8	reserverede	reserveret	AC:sdu#:--:p---	
30-9	bord	bord	NC:siun:--:----	
30-10	,	,	ZD	
30-11	bliver	blive	VF:----:sa:----	
30-12	der	der	US:----:--:----	
30-13	fra	fra	T-:----:--:----	
30-14	de	den	PM:p-u#:--:----	
30-15	andre	anden	PI:p-u#:--:----	
30-16	borde	bord	NC:piu#:--:----	
30-17	sendt	sende	VT:siu#:t-:----	
30-18	genkendende	genkende	VP:##u#:s-:----	
30-19	blikke	blik|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-1|blik-1-2|blik-1-4|blik-1-3	NC:piu#:--:----	
30-20	i	i	T-:----:--:----	
30-21	hans	hans	PO:#--#:--:-3ns	
30-22	retning	retning	NC:siuc:--:----	
30-23	.	.	ZP	

#id=31
#text=Blacck er stiligt indrettet, og i de private aflukker udveksles hede ord og blikke.
31-1	Blacck	Blacck	NP:siu#:--:----	
31-2	er	være	VF:----:sa:----	
31-3	stiligt	stilig	AD:----:--:p---	
31-4	indrettet	indrette	VT:siu#:t-:----	
31-5	,	,	ZD	
31-6	og	og	CC:----:--:----	
31-7	i	i	T-:----:--:----	
31-8	de	den	PM:p-u#:--:----	
31-9	private	privat	AC:p#u#:--:p---	
31-10	aflukker	aflukke	NC:piu#:--:----	
31-11	udveksles	udveksle	VF:----:sp:----	
31-12	hede	hed	AC:p#u#:--:p---	
31-13	ord	ord	NC:piu#:--:----	
31-14	og	og	CC:----:--:----	
31-15	blikke	blik|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-1|blik-1-3|blik-1-4a|blik-1-4|blik-1-2	NC:piu#:--:----	
31-16	.	.	ZP	

#id=32
#text= Hun stod og så ud ad vinduet med et fjernt blik, som om hun så ud i ingenting.
32-1	Hun	hun	PP:s-nc:--:-3n-	
32-2	stod	stå	VF:----:ta:----	
32-3	og	og	CC:----:--:----	
32-4	så	så	D-:----:--:u---	
32-5	ud	ud	D-:----:--:u---	
32-6	ad	ad	T-:----:--:----	
32-7	vinduet	vindue	NC:sdun:--:----	
32-8	med	med	T-:----:--:----	
32-9	et	en	PI:s-un:--:----	
32-10	fjernt	fjern	AC:siun:--:p---	
32-11	blik	blik|blik-2-1-1a|blik-1-4a|blik-1-1|blik-1-2|blik-1-4|blik-1-3|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
32-12	,	,	ZD	
32-13	som	som	US:----:--:----	
32-14	om	om	CS:----:--:----	
32-15	hun	hun	PP:s-nc:--:-3n-	
32-16	så	så	D-:----:--:u---	
32-17	ud	ud	D-:----:--:u---	
32-18	i	i	T-:----:--:----	
32-19	ingenting	ingenting	PI:s-un:--:----	
32-20	.	.	ZP	

#id=33
#text= Da Albrecht løfter den transparente Giselle op over hovedet som en månehvid natsværmer, er det, som om en afgrund åbner sig og hun med en fugls fjerne blik kan se ned i det mørke af død og fortabelse, der venter på ham.
33-1	Da	da	CS:----:--:----	
33-2	Albrecht	Albrecht	NP:siu#:--:----	
33-3	løfter	løfte	VF:----:sa:----	
33-4	den	den	PM:s-uc:--:----	
33-5	transparente	transparent	AC:sdu#:--:p---	
33-6	Giselle	Giselle	NP:siu#:--:----	
33-7	op	op	D-:----:--:u---	
33-8	over	over	T-:----:--:----	
33-9	hovedet	hoved	NC:sdun:--:----	
33-10	som	som	US:----:--:----	
33-11	en	en	PI:s-uc:--:----	
33-12	månehvid	månehvid	AC:siuc:--:p---	
33-13	natsværmer	natsværmer	NC:siuc:--:----	
33-14	,	,	ZD	
33-15	er	være	VF:----:sa:----	
33-16	det	det	PP:s-un:--:-3n-	
33-17	,	,	ZD	
33-18	som	som	US:----:--:----	
33-19	om	om	T-:----:--:----	
33-20	en	en	PI:s-uc:--:----	
33-21	afgrund	afgrund	NC:siuc:--:----	
33-22	åbner	åbne	VF:----:sa:----	
33-23	sig	sig	PP:#-u#:--:-3y-	
33-24	og	og	CC:----:--:----	
33-25	hun	hun	PP:s-nc:--:-3n-	
33-26	med	med	T-:----:--:----	
33-27	en	en	PI:s-uc:--:----	
33-28	fugls	fugl	NC:sigc:--:----	
33-29	fjerne	fjern	AC:sdu#:--:p---	
33-30	blik	blik|blik-1-1|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4|blik-1-2	NC:siun:--:----	
33-31	kan	kunne	VF:----:sa:----	
33-32	se	se	VI:----:-a:----	
33-33	ned	ned	D-:----:--:u---	
33-34	i	i	T-:----:--:----	
33-35	det	den	PM:s-un:--:----	
33-36	mørke	mørke	NC:siun:--:----	
33-37	af	af	T-:----:--:----	
33-38	død	død	NC:siuc:--:----	
33-39	og	og	CC:----:--:----	
33-40	fortabelse	fortabelse	NC:siuc:--:----	
33-41	,	,	ZD	
33-42	der	der	US:----:--:----	
33-43	venter	vente	VF:----:sa:----	
33-44	på	på	T-:----:--:----	
33-45	ham	han	PP:s-uc:--:-3n-	
33-46	.	.	ZP	

#id=34
#text=Hendes portrætter er, som det ses her på siden, ikke den klassiske ansigt til ansigt-udveksling af blikke med den portrætterede, men billeder uden omgivende miljø og historie.
34-1	Hendes	hendes	PO:#--#:--:-3ns	
34-2	portrætter	portræt	NC:piu#:--:----	
34-3	er	være	VF:----:sa:----	
34-4	,	,	ZD	
34-5	som	som	US:----:--:----	
34-6	det	det	PP:s-un:--:-3n-	
34-7	ses	se	VF:----:sp:----	
34-8	her	her	D-:----:--:u---	
34-9	på	på	T-:----:--:----	
34-10	siden	side	NC:sduc:--:----	
34-11	,	,	ZD	
34-12	ikke	ikke	D-:----:--:u---	
34-13	den	den	PM:s-uc:--:----	
34-14	klassiske	klassisk	AC:sdu#:--:p---	
34-15	ansigt	ansigt	NC:siun:--:----	
34-16	til	til	T-:----:--:----	
34-17	ansigt	ansigt	NW:----:--:----	
34-18	-	-	ZH	
34-19	udveksling	udveksling	NC:siuc:--:----	
34-20	af	af	T-:----:--:----	
34-21	blikke	blik|blik-1-1|blik-1-2|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3	NC:piu#:--:----	
34-22	med	med	T-:----:--:----	
34-23	den	den	PM:s-uc:--:----	
34-24	portrætterede	portrættere	VP:sdu#:t-:----	
34-25	,	,	ZD	
34-26	men	men	CC:----:--:----	
34-27	billeder	billede	NC:piu#:--:----	
34-28	uden	uden	T-:----:--:----	
34-29	omgivende	omgive	VP:##u#:s-:----	
34-30	miljø	miljø	NC:siun:--:----	
34-31	og	og	CC:----:--:----	
34-32	historie	historie	NC:siuc:--:----	
34-33	.	.	ZP	

#id=35
#text= At være kritisk rationelt indstillet er jo ikke det samme, som at man ikke har blik for verdens skønhed, uendelighed og uforståelighed.
35-1	At	at	UI:----:--:----	
35-2	være	være	VI:----:-a:----	
35-3	kritisk	kritisk	AD:----:--:p---	
35-4	rationelt	rationel	AD:----:--:p---	
35-5	indstillet	indstille	VT:siu#:t-:----	
35-6	er	være	VF:----:sa:----	
35-7	jo	jo	D-:----:--:u---	
35-8	ikke	ikke	D-:----:--:u---	
35-9	det	den	PM:s-un:--:----	
35-10	samme	samme	AC:§§u§:--:p---	
35-11	,	,	ZD	
35-12	som	som	US:----:--:----	
35-13	at	at	CS:----:--:----	
35-14	man	man	PI:#-uc:--:----	
35-15	ikke	ikke	D-:----:--:u---	
35-16	har	have	VF:----:sa:----	
35-17	blik	blik|blik-1-3|blik-1-4|blik-1-2|blik-1-1|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a	NC:siun:--:----	
35-18	for	for	T-:----:--:----	
35-19	verdens	verden	NC:sigc:--:----	
35-20	skønhed	skønhed	NC:siuc:--:----	
35-21	,	,	ZD	
35-22	uendelighed	uendelighed	NC:siuc:--:----	
35-23	og	og	CC:----:--:----	
35-24	uforståelighed	uforståelighed	NC:siuc:--:----	
35-25	.	.	ZP	

#id=36
#text=At være kritisk rationelt indstillet er jo ikke det samme, somat man ikke har blik for verdens skønhed, uendelighed og uforståelighed.
36-1	At	at	UI:----:--:----	
36-2	være	være	VI:----:-a:----	
36-3	kritisk	kritisk	AD:----:--:p---	
36-4	rationelt	rationel	AD:----:--:p---	
36-5	indstillet	indstille	VT:siu#:t-:----	
36-6	er	være	VF:----:sa:----	
